section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,4164568.931882811,271894.2143671857,0.06984765851196359,271894.2143671857,0.06984765851196359,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,3410073.995328125,-482600.7221875,0.12397663745598153,271894.2143671857,0.06984765851196359,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2912950.690203125,-979724.0273124999,0.25168402150431346,271894.2143671857,0.06984765851196359,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_no_shard-RECOMPUTE_1-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,2259890.1674453137,-1632784.5500703114,0.41945054970130763,271894.2143671857,0.06984765851196359,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2159736.02409375,-1016003.1577578108,0.31992651146037987,115663.49580468936,0.03642096821605285,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_communication,remove communication->communication dependency,3291402.67765625,115663.49580468936,0.03642096821605285,115663.49580468936,0.03642096821605285,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_compute,remove communication->compute dependency,2789117.2581015625,-386621.9237499982,0.12174234142382716,115663.49580468936,0.03642096821605285,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_communication,remove compute->communication dependency,2583464.7513515623,-592274.4304999984,0.18649970812611974,115663.49580468936,0.03642096821605285,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_compute,remove compute->compute dependency,1690275.3280703109,-1485463.8537812498,0.4677537318776838,115663.49580468936,0.03642096821605285,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,between_compute_and_communication,remove all compute<->communication dependency,2027954.5055546875,-1147784.6762968733,0.361422840658998,8962.670289064758,0.002822231227389154,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,3184701.8521406255,8962.670289064758,0.002822231227389154,8962.670289064758,0.002822231227389154,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,2656562.0530234375,-519177.1288281232,0.16348229470325262,8962.670289064758,0.002822231227389154,,,,
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2477395.45546875,-698343.7263828106,0.21989958444120503,8962.670289064758,0.002822231227389154,,,,
