dataset,config,start_variant,kind,perturb_mode,original_precision,e0_precision,e10_precision,e20_precision,e30_precision,e40_precision,e50_precision,e60_precision,e70_precision,e80_precision,e90_precision,e100_precision
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication,symmetric,0.9731514806728129,0.9731514806728129,0.9635429141440975,0.9471487847131441,0.9469996577252763,0.9639426942644581,0.9156688764136037,0.8371811408473085,0.8140839473503141,0.7933897555854081,0.7940942743913035,0.9032928722583868
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,gpu,negative,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129,0.9731514806728129
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,gpu,positive,0.9731514806728129,0.9731514806728129,0.9722254781870376,0.9710617445691038,0.9701325591651868,0.969120695554357,0.967515765635614,0.9670285409726156,0.9654278071728898,0.9635631576678761,0.9610227093967214,0.9597251070613516
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,gpu,symmetric,0.9731514806728129,0.9731514806728129,0.9727495568199904,0.9723421746915324,0.9717453499584251,0.9710335008378962,0.9709391537155807,0.9706651556427146,0.9694526871871392,0.9688932296073315,0.9688486793306681,0.9671586621996066
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication,negative,0.9925868237691244,0.9925868237691244,0.9585679373012944,0.9604745479692623,0.9379228247934759,0.8935172649023871,0.8634008917464966,0.8408209105860371,0.8779100345810805,0.8473632549087778,0.8780504863193913,0.7753899194515776
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication,positive,0.9925868237691244,0.9925868237691244,0.9718201557478198,0.9541151972594808,0.8942399960783819,0.8764008793727494,0.8460187763249238,0.818007685381215,0.7502701064673365,0.7143910365242256,0.6561397210563097,0.6250838286924323
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication,symmetric,0.9925868237691244,0.9925868237691244,0.9977659608219691,0.9984661749141105,0.9855274183509426,0.9921489314743994,0.9671867541679866,0.8529606244628666,0.8622997593075111,0.8452294111919634,0.8459221786631547,0.9508002266476313
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,gpu,negative,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244,0.9925868237691244
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,gpu,positive,0.9925868237691244,0.9925868237691244,0.9935185480210126,0.9946756611181158,0.9955968473310137,0.9966091111983607,0.9982504209459394,0.9990635033532191,0.9991909723176567,0.996905312721774,0.994205224921645,0.9925840661492447
configuration_set,use_data/MODEL_175b-TP_8-PP_8-SP_1-OPTIM_optim-RECOMPUTE_1-OVERLAP_GR_1-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,gpu,symmetric,0.9925868237691244,0.9925868237691244,0.9929922267913306,0.9934018333248742,0.9939883897353026,0.9946918324158847,0.9948034968368895,0.9950462451198648,0.9963963122827294,0.9969542573519082,0.9972427076722934,0.9987904174634687
