section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,between_compute_and_communication,remove all compute<->communication dependency,1490057.314,-493233.0460000003,0.24869431927254476,-149241.08122265688,0.07524923442004572,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,communication_to_communication,remove communication->communication dependency,1834049.2787773435,-149241.08122265688,0.07524923442004572,-149241.08122265688,0.07524923442004572,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,communication_to_compute,remove communication->compute dependency,1620042.3766796875,-363247.9833203128,0.1831542121347843,-149241.08122265688,0.07524923442004572,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,compute_to_communication,remove compute->communication dependency,1545226.4435820298,-438063.91641797055,0.22087734869944634,-149241.08122265688,0.07524923442004572,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_3,START_27,compute_to_compute,remove compute->compute dependency,1600421.8463515632,-382868.5136484371,0.1930471308540203,-149241.08122265688,0.07524923442004572,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_26,between_compute_and_communication,remove all compute<->communication dependency,1707871.5850000002,-530240.7518984375,0.2369142706363175,-165905.5845312497,0.07412746080527872,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_26,communication_to_communication,remove communication->communication dependency,2072206.752367188,-165905.5845312497,0.07412746080527872,-165905.5845312497,0.07412746080527872,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_26,communication_to_compute,remove communication->compute dependency,1857883.662636719,-380228.67426171876,0.16988810972224805,-165905.5845312497,0.07412746080527872,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_26,compute_to_communication,remove compute->communication dependency,1764788.4740507824,-473323.8628476553,0.2114835144975719,-165905.5845312497,0.07412746080527872,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_26,compute_to_compute,remove compute->compute dependency,1797745.7118828122,-440366.6250156255,0.19675805264801088,-165905.5845312497,0.07412746080527872,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_27,between_compute_and_communication,remove all compute<->communication dependency,1707871.5850000002,-530240.7518984375,0.2369142706363175,-161950.94601562503,0.07236050815932486,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_27,communication_to_communication,remove communication->communication dependency,2076161.3908828127,-161950.94601562503,0.07236050815932486,-161950.94601562503,0.07236050815932486,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_27,communication_to_compute,remove communication->compute dependency,1858029.2209375,-380083.1159609377,0.16982307353153442,-161950.94601562503,0.07236050815932486,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_27,compute_to_communication,remove compute->communication dependency,1765459.3696445308,-472652.9672539069,0.21118375492666577,-161950.94601562503,0.07236050815932486,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_4,START_27,compute_to_compute,remove compute->compute dependency,1798068.7273359376,-440043.60956250015,0.19661372769711366,-161950.94601562503,0.07236050815932486,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_26,between_compute_and_communication,remove all compute<->communication dependency,1909221.7989999999,-582291.8426562503,0.23371007604404204,-173926.0798398438,0.06980739616750614,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_26,communication_to_communication,remove communication->communication dependency,2317587.5618164064,-173926.0798398438,0.06980739616750614,-173926.0798398438,0.06980739616750614,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_26,communication_to_compute,remove communication->compute dependency,2077133.3367304686,-414380.3049257817,0.16631669118629414,-173926.0798398438,0.06980739616750614,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_26,compute_to_communication,remove compute->communication dependency,1982832.0746718775,-508681.5669843727,0.2041656760290597,-173926.0798398438,0.06980739616750614,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_26,compute_to_compute,remove compute->compute dependency,2002201.200792969,-489312.44086328126,0.19639163626573908,-173926.0798398438,0.06980739616750614,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_27,between_compute_and_communication,remove all compute<->communication dependency,1909221.7989999999,-582291.8426562503,0.23371007604404204,-172745.83540234482,0.06933369037767374,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_27,communication_to_communication,remove communication->communication dependency,2318767.8062539054,-172745.83540234482,0.06933369037767374,-172745.83540234482,0.06933369037767374,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_27,communication_to_compute,remove communication->compute dependency,2080182.8156054686,-411330.82605078164,0.16509274489757428,-172745.83540234482,0.06933369037767374,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_27,compute_to_communication,remove compute->communication dependency,1982880.1548906248,-508633.4867656254,0.20414637843504158,-172745.83540234482,0.06933369037767374,,,,
detail,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_5,START_27,compute_to_compute,remove compute->compute dependency,2002569.3824375004,-488944.2592187498,0.1962438619817152,-172745.83540234482,0.06933369037767374,,,,
summary_by_mode,,,between_compute_and_communication,,,,,,,10,0.2430776934424594,0.23371007604404204,0.25413337804190095
summary_by_mode,,,communication_to_communication,,,,,,,10,0.07595730169173434,0.06933369037767374,0.0858495862156205
summary_by_mode,,,communication_to_compute,,,,,,,10,0.17631971879598685,0.16509274489757428,0.1880156812099617
summary_by_mode,,,compute_to_communication,,,,,,,10,0.20459697149218792,0.17553405420724771,0.22087734869944634
summary_by_mode,,,compute_to_compute,,,,,,,10,0.19473165753780922,0.1920251677826771,0.19675805264801088
summary_by_variant_mode,,START_26,between_compute_and_communication,,,,,,,5,0.2430776934424594,0.23371007604404204,0.25413337804190095
summary_by_variant_mode,,START_26,communication_to_communication,,,,,,,5,0.07570063661155688,0.06980739616750614,0.08317118777985924
summary_by_variant_mode,,START_26,communication_to_compute,,,,,,,5,0.1763125504154704,0.16631669118629414,0.1864104358306023
summary_by_variant_mode,,START_26,compute_to_communication,,,,,,,5,0.20457322728574318,0.17553405420724771,0.22085267704290001
summary_by_variant_mode,,START_26,compute_to_compute,,,,,,,5,0.19470402474575002,0.19204488178297524,0.19675805264801088
summary_by_variant_mode,,START_27,between_compute_and_communication,,,,,,,5,0.2430776934424594,0.23371007604404204,0.25413337804190095
summary_by_variant_mode,,START_27,communication_to_communication,,,,,,,5,0.07621396677191179,0.06933369037767374,0.0858495862156205
summary_by_variant_mode,,START_27,communication_to_compute,,,,,,,5,0.17632688717650327,0.16509274489757428,0.1880156812099617
summary_by_variant_mode,,START_27,compute_to_communication,,,,,,,5,0.2046207156986327,0.17578345146149532,0.22087734869944634
summary_by_variant_mode,,START_27,compute_to_compute,,,,,,,5,0.1947592903298684,0.1920251677826771,0.19661372769711366
